# ----------------------------------------
# PHCompany.com (Reporting)
# Demand Report
# 20161126-20161126
# ----------------------------------------

Hour of Day,Device Category,Event Label,Check In Date,Check Out Date,Number of Adults,Number of Children,Number of Rooms,Hits
2016112606,mobile,Sunningdale Park,28/11/2016,29/11/2016,2,0,1,1
2016112606,mobile,Sunningdale Park,30/11/2016,01/12/2016,2,0,1,1
2016112606,mobile,The Principal Edinburgh George...,31/12/2016,01/01/2017,2,0,1,1
2016112606,mobile,The Principal Manchester,26/11/2016,27/11/2016,2,0,1,1
2016112606,mobile,The Principal York,01/04/2017,02/04/2017,2,0,1,1
2016112606,mobile,The Roxburghe Hotel,13/01/2017,15/01/2017,2,0,1,1
2016112606,tablet,The Principal Edinburgh George...,28/12/2016,29/12/2016,2,0,1,1
2016112606,tablet,The Roxburghe Hotel,23/12/2016,24/12/2016,2,0,1,1
2016112607,desktop,De Vere Alexandra House,17/02/2017,19/02/2017,2,0,1,1
2016112607,desktop,De Vere Alexandra House,26/11/2016,27/11/2016,2,0,1,1
2016112607,desktop,De Vere Cotswold Water Park,10/12/2016,11/12/2016,2,0,1,1
2016112607,desktop,De Vere Cotswold Water Park,12/03/2017,13/03/2017,2,0,1,1
2016112607,desktop,Ettington Chase,17/02/2017,19/02/2017,2,0,1,1
2016112607,desktop,Sedgebrook Hall,26/11/2016,27/11/2016,2,0,1,1
2016112607,desktop,The Principal Edinburgh George...,05/04/2017,06/04/2017,2,0,1,1
2016112607,desktop,The Principal Manchester,29/11/2016,30/11/2016,2,0,1,1
2016112607,desktop,The St David's Hotel,17/02/2017,19/02/2017,2,0,1,1
2016112607,desktop,Wychwood Park,27/11/2016,28/11/2016,2,0,1,1
2016112607,mobile,Blythswood Square Hotel,18/12/2016,19/12/2016,2,0,1,1
2016112607,mobile,Blythswood Square Hotel,19/12/2016,20/12/2016,2,0,1,1
2016112607,mobile,Blythswood Square Hotel,20/12/2016,21/12/2016,2,0,1,1
2016112607,mobile,Blythswood Square Hotel,21/12/2016,22/12/2016,2,0,1,1
2016112607,mobile,Cheadle House,26/11/2016,27/11/2016,2,0,1,1
2016112607,mobile,De Vere Cotswold Water Park,22/12/2016,27/12/2016,2,0,1,1
2016112607,mobile,De Vere Cotswold Water Park,24/12/2016,27/12/2016,2,0,1,1
2016112607,mobile,De Vere Latimer Estate,24/02/2017,26/02/2017,2,0,1,1
2016112607,mobile,De Vere Selsdon Estate,07/12/2016,08/12/2016,2,0,1,1
2016112607,mobile,De Vere Tortworth Estate,09/12/2016,10/12/2016,2,0,2,2
2016112607,mobile,De Vere Tortworth Estate,28/12/2016,29/12/2016,2,0,1,1
2016112607,mobile,De Vere Wotton House,29/12/2016,30/12/2016,2,0,1,1
2016112607,mobile,Oxford Spires Hotel,03/08/2017,05/08/2017,2,0,1,1
2016112607,mobile,The Derbyshire,26/11/2016,27/11/2016,2,0,1,1
2016112607,mobile,The Principal Edinburgh George...,26/11/2016,29/11/2016,2,0,1,1
2016112607,mobile,The Principal Manchester,02/12/2016,03/12/2016,2,0,1,1
2016112607,mobile,The Principal York,07/09/2017,10/09/2017,2,0,1,1
2016112607,mobile,The Principal York,09/01/2017,12/01/2017,2,0,1,1
2016112607,mobile,The Principal York,26/11/2016,27/11/2016,2,0,1,1
2016112607,mobile,The Principal York,26/11/2016,29/11/2016,2,0,1,1
2016112607,mobile,The Roxburghe Hotel,03/12/2016,04/12/2016,2,0,1,1
2016112607,mobile,The St David's Hotel,26/11/2016,27/11/2016,2,0,1,1
2016112607,mobile,Wychwood Park,26/11/2016,27/11/2016,2,0,1,1
2016112607,tablet,Cheadle House,20/01/2017,22/01/2017,2,0,1,1
2016112607,tablet,Cheadle House,29/12/2016,30/12/2016,2,2,1,1
2016112607,tablet,De Vere Cranage Estate,18/03/2017,19/03/2017,2,0,1,1
2016112607,tablet,De Vere Cranage Estate,31/12/2016,01/01/2017,2,0,1,1
2016112607,tablet,De Vere Latimer Estate,10/12/2016,11/12/2016,2,0,1,1
2016112607,tablet,De Vere Oxford Thames,04/12/2016,05/12/2016,2,0,1,1
2016112607,tablet,De Vere Oxford Thames,04/12/2016,06/12/2016,2,0,1,1
2016112607,tablet,De Vere Oxford Thames,28/11/2016,30/11/2016,2,0,1,1
2016112607,tablet,Edinburgh,29/12/2016,30/12/2016,2,2,1,1
2016112607,tablet,Hunton Park,26/11/2016,27/11/2016,2,0,1,1
2016112607,tablet,The Derbyshire,20/01/2017,22/01/2017,2,0,1,1
2016112607,tablet,The Principal Manchester,30/12/2016,31/12/2016,2,0,1,1
2016112607,tablet,The St Johns Hotel,29/12/2016,30/12/2016,2,2,1,1
2016112607,tablet,Wychwood Park,26/11/2016,27/11/2016,2,0,1,1
2016112608,desktop,Buckinghamshire,27/02/2017,28/02/2017,2,0,1,1
2016112608,desktop,De Vere Devonport House,25/01/2017,29/01/2017,2,0,1,1
2016112608,desktop,De Vere Devonport House,27/01/2017,29/01/2017,2,0,1,1
2016112608,desktop,De Vere Horsley Estate,18/02/2017,19/02/2017,2,0,1,1
2016112608,desktop,De Vere Orchard Hotel,17/12/2016,19/12/2016,2,0,1,1
2016112608,desktop,Denham Grove,27/02/2017,28/02/2017,2,0,1,1
2016112608,desktop,The Met Hotel,02/12/2016,03/12/2016,2,0,1,1
2016112608,desktop,The Met Hotel,02/12/2016,04/12/2016,2,0,1,1
2016112608,desktop,The Principal Manchester,26/11/2016,27/11/2016,2,0,1,1
2016112608,desktop,The Principal Manchester,28/12/2016,30/12/2016,2,0,1,1
2016112608,desktop,The Roxburghe Hotel,22/12/2016,23/12/2016,2,0,1,1
2016112608,desktop,The St David's Hotel,02/12/2016,03/12/2016,2,0,1,1
2016112608,mobile,Blythswood Square Hotel,21/01/2017,22/01/2017,2,0,1,1
2016112608,mobile,Cheadle House,26/11/2016,27/11/2016,2,2,1,1
2016112608,mobile,Choose a destination,10/12/2016,11/12/2016,2,0,1,1
2016112608,mobile,De Vere Beaumont Estate,02/12/2016,04/12/2016,2,0,1,1
2016112608,mobile,De Vere Cotswold Water Park,02/12/2016,03/12/2016,2,0,1,1
2016112608,mobile,De Vere Cotswold Water Park,02/12/2016,04/12/2016,2,0,1,1
2016112608,mobile,De Vere Cotswold Water Park,09/12/2016,10/12/2016,2,0,1,1
2016112608,mobile,De Vere Cotswold Water Park,16/12/2016,17/12/2016,2,0,1,1
2016112608,mobile,De Vere Cotswold Water Park,21/01/2017,22/01/2017,2,0,1,1
2016112608,mobile,De Vere Cotswold Water Park,21/12/2016,22/12/2016,2,2,1,1
2016112608,mobile,De Vere Cranage Estate,01/01/2017,02/01/2017,2,0,1,1
2016112608,mobile,De Vere Cranage Estate,26/11/2016,27/11/2016,2,2,1,1
2016112608,mobile,De Vere Devonport House,10/12/2016,11/12/2016,2,0,1,1
2016112608,mobile,De Vere Devonport House,26/11/2016,27/11/2016,2,0,1,1
2016112608,mobile,De Vere Horsley Estate,02/12/2016,03/12/2016,2,0,1,1
2016112608,mobile,De Vere Horsley Estate,26/11/2016,27/11/2016,2,0,1,1
2016112608,mobile,De Vere Orchard Hotel,14/01/2017,15/01/2017,2,0,1,1
2016112608,mobile,De Vere Orchard Hotel,23/02/2017,24/02/2017,2,0,1,1
2016112608,mobile,De Vere Orchard Hotel,26/11/2016,27/11/2016,2,0,1,1
2016112608,mobile,De Vere Oxford Thames,15/12/2016,17/12/2016,2,0,1,1
2016112608,mobile,De Vere Selsdon Estate,16/12/2016,17/12/2016,2,0,1,1
2016112608,mobile,De Vere Selsdon Estate,26/11/2016,27/11/2016,2,0,1,1
2016112608,mobile,De Vere Staverton Estate,04/02/2017,05/02/2017,2,0,1,1
2016112608,mobile,De Vere Theobalds Estate,01/01/2017,03/01/2017,2,2,1,1
2016112608,mobile,De Vere Theobalds Estate,30/11/2016,01/12/2016,2,0,2,1
2016112608,mobile,De Vere Tortworth Estate,20/01/2017,22/01/2017,2,0,1,1
2016112608,mobile,De Vere Tortworth Estate,20/12/2016,21/12/2016,2,0,1,1
2016112608,mobile,De Vere Tortworth Estate,21/01/2017,22/01/2017,2,0,1,1
2016112608,mobile,De Vere Tortworth Estate,24/12/2016,26/12/2016,2,0,1,1
2016112608,mobile,De Vere Tortworth Estate,31/12/2016,01/01/2017,2,1,1,1
2016112608,mobile,De Vere Wokefield Estate,25/02/2017,26/02/2017,2,0,1,1
2016112608,mobile,Eastwood Hall,27/12/2016,28/12/2016,2,0,1,1
2016112608,mobile,Eastwood Hall,27/12/2016,29/12/2016,2,0,1,1
2016112608,mobile,Ettington Chase,10/12/2016,11/12/2016,2,0,1,1
2016112608,mobile,Grand Central Hotel,26/11/2016,27/11/2016,2,0,1,1
2016112608,mobile,Hunton Park,02/12/2016,04/12/2016,2,0,1,1
2016112608,mobile,Hunton Park,26/11/2016,28/11/2016,2,0,1,1
2016112608,mobile,New Place,26/12/2016,29/12/2016,2,2,1,1
2016112608,mobile,New Place,27/12/2016,30/12/2016,2,2,1,1
2016112608,mobile,New Place,28/12/2016,31/12/2016,2,2,1,1
2016112608,mobile,Nottinghamshire,01/12/2016,03/12/2016,2,0,1,1
2016112608,mobile,Ponsbourne Park,30/11/2016,01/12/2016,2,0,2,1
2016112608,mobile,The Bonham Hotel,31/12/2016,01/01/2017,2,0,1,1
2016112608,mobile,The Derbyshire,02/12/2016,04/12/2016,2,0,1,1
2016112608,mobile,The Met Hotel,01/12/2016,02/12/2016,2,0,1,1
2016112608,mobile,The Met Hotel,26/11/2016,27/11/2016,2,0,1,1
2016112608,mobile,The Principal Edinburgh George...,09/12/2016,10/12/2016,2,0,1,1
2016112608,mobile,The Principal Edinburgh George...,15/02/2017,17/02/2017,2,0,1,1
2016112608,mobile,The Principal Edinburgh George...,31/12/2016,01/01/2017,2,0,1,1
2016112608,mobile,The Principal Manchester,04/12/2016,05/12/2016,2,0,1,1
2016112608,mobile,The Principal Manchester,11/02/2017,12/02/2017,2,0,1,1
2016112608,mobile,The Principal Manchester,27/01/2017,28/01/2017,2,0,1,1
2016112608,mobile,The Principal Manchester,31/12/2016,01/01/2017,2,0,1,1
2016112608,mobile,The Principal York,04/02/2017,05/02/2017,2,0,1,1
2016112608,mobile,The Principal York,10/12/2016,11/12/2016,2,0,1,1
2016112608,mobile,The Principal York,26/11/2016,27/11/2016,2,0,1,1
2016112608,mobile,The Principal York,29/11/2016,31/12/2016,2,0,1,1
2016112608,mobile,The Principal York,29/12/2016,31/12/2016,2,0,1,1
2016112608,mobile,The Roxburghe Hotel,10/12/2016,11/12/2016,2,0,1,1
2016112608,mobile,The Roxburghe Hotel,14/01/2017,15/01/2017,2,0,1,1
2016112608,mobile,The Roxburghe Hotel,28/12/2016,30/12/2016,2,2,1,1
2016112608,mobile,The Roxburghe Hotel,31/12/2016,01/01/2017,2,0,1,1
2016112608,mobile,The St David's Hotel,10/12/2016,11/12/2016,2,0,1,1
2016112608,mobile,The St David's Hotel,17/03/2017,18/03/2017,2,0,1,1
2016112608,mobile,The St David's Hotel,26/11/2016,27/11/2016,2,0,1,1
2016112608,tablet,Blythswood Square Hotel,02/12/2016,04/12/2016,2,0,1,1
2016112608,tablet,Blythswood Square Hotel,28/12/2016,29/12/2016,2,0,1,1
2016112608,tablet,Choose a destination,20/12/2016,21/12/2016,2,0,2,2
2016112608,tablet,De Vere Beaumont Estate,26/11/2016,27/11/2016,2,0,1,1
2016112608,tablet,De Vere Devonport House,10/12/2016,11/12/2016,2,1,1,1
2016112608,tablet,De Vere Selsdon Estate,04/03/2017,05/03/2017,2,0,1,1
2016112608,tablet,De Vere Selsdon Estate,26/11/2016,27/11/2016,2,0,1,1
2016112608,tablet,De Vere Staverton Estate,01/12/2016,02/12/2016,2,0,1,1
2016112608,tablet,De Vere Tortworth Estate,26/11/2016,27/11/2016,2,0,1,1
2016112608,tablet,Gorse Hill,10/03/2017,11/03/2017,2,0,1,1
2016112608,tablet,Sedgebrook Hall,02/12/2016,03/12/2016,2,0,2,2
2016112608,tablet,The Derbyshire,04/12/2016,05/12/2016,2,0,1,1
2016112608,tablet,The Derbyshire,05/12/2016,08/12/2016,2,0,1,1
2016112608,tablet,The Principal Edinburgh George...,10/12/2016,11/12/2016,2,0,1,1
2016112608,tablet,The Principal Manchester,09/12/2016,10/12/2016,2,0,1,1
2016112608,tablet,The Principal Manchester,13/12/2016,14/12/2016,2,0,1,1
2016112608,tablet,The Principal York,09/12/2016,10/12/2016,2,0,1,1
2016112608,tablet,The Principal York,26/11/2016,27/11/2016,2,0,1,1
2016112608,tablet,The Roxburghe Hotel,03/12/2016,04/12/2016,2,0,1,1
2016112609,desktop,Blythswood Square Hotel,20/01/2017,21/01/2017,2,0,1,1
2016112609,desktop,Blythswood Square Hotel,26/11/2016,27/11/2016,2,0,1,1
2016112609,desktop,Choose a destination,21/01/2017,20/02/2017,2,0,1,1
2016112609,desktop,De Vere Cotswold Water Park,29/12/2016,02/01/2017,2,0,1,1
2016112609,desktop,De Vere Cranage Estate,11/02/2017,13/02/2017,2,0,1,1
2016112609,desktop,De Vere Devonport House,04/02/2017,05/02/2017,2,0,1,1
2016112609,desktop,De Vere Devonport House,09/01/2017,11/01/2017,2,0,1,1
2016112609,desktop,De Vere Devonport House,13/12/2016,14/12/2016,2,0,2,2
2016112609,desktop,De Vere Devonport House,17/01/2017,19/01/2017,2,0,1,1
2016112609,desktop,De Vere Devonport House,17/12/2016,19/12/2016,2,0,1,1
2016112609,desktop,De Vere Horsley Estate,20/12/2016,22/12/2016,2,0,1,1
2016112609,desktop,De Vere Latimer Estate,10/12/2016,11/12/2016,2,0,1,1
2016112609,desktop,De Vere Orchard Hotel,15/12/2016,16/12/2016,2,2,1,1
2016112609,desktop,De Vere Orchard Hotel,17/12/2016,18/12/2016,2,0,1,1
2016112609,desktop,De Vere Selsdon Estate,18/02/2017,19/02/2017,2,1,1,1
2016112609,desktop,De Vere Selsdon Estate,26/11/2016,27/11/2016,2,0,1,1
2016112609,desktop,De Vere Theobalds Estate,01/01/2017,02/01/2017,2,0,1,1
2016112609,desktop,De Vere Tortworth Estate,01/02/2017,03/02/2017,2,0,1,1
2016112609,desktop,De Vere Tortworth Estate,26/11/2016,27/11/2016,2,0,1,1
2016112609,desktop,De Vere Tortworth Estate,27/01/2017,29/01/2017,2,0,1,1
2016112609,desktop,De Vere Wokefield Estate,01/01/2017,02/01/2017,2,0,1,1
2016112609,desktop,De Vere Wotton House,03/12/2016,04/12/2016,2,0,1,1
2016112609,desktop,Grand Central Hotel,02/03/2017,03/03/2017,2,0,1,1
2016112609,desktop,Grand Central Hotel,13/01/2017,16/01/2017,2,0,1,1
2016112609,desktop,Grand Central Hotel,13/04/2017,16/04/2017,2,0,1,1
2016112609,desktop,London,17/01/2017,19/01/2017,2,0,1,1
2016112609,desktop,New Place,03/01/2017,05/01/2017,2,0,1,1
2016112609,desktop,Ponsbourne Park,01/01/2017,02/01/2017,2,0,1,1
2016112609,desktop,The Met Hotel,18/12/2016,19/12/2016,2,2,1,1
2016112609,desktop,The Principal Edinburgh George...,04/12/2016,06/12/2016,2,0,1,1
2016112609,desktop,The Principal Edinburgh George...,11/01/2017,16/01/2017,2,0,1,1
2016112609,desktop,The Principal Edinburgh George...,19/06/2017,26/06/2017,2,0,2,1
2016112609,desktop,The Principal Manchester,01/04/2017,02/04/2017,2,0,1,1
2016112609,desktop,The Principal Manchester,03/02/2017,04/02/2017,2,0,1,1
2016112609,desktop,The Principal Manchester,16/12/2016,18/12/2016,2,0,1,1
2016112609,desktop,The Principal Manchester,23/12/2016,30/12/2016,2,0,1,1
2016112609,desktop,The Principal Manchester,27/11/2016,28/11/2016,2,0,1,1
2016112609,desktop,The Principal Manchester,29/11/2016,30/11/2016,2,0,1,1
2016112609,desktop,Warbrook House,20/12/2016,22/12/2016,2,0,1,1
2016112609,mobile,Blythswood Square Hotel,02/04/2017,03/04/2017,2,0,1,1
2016112609,mobile,Blythswood Square Hotel,05/03/2017,06/03/2017,2,0,1,1
2016112609,mobile,Blythswood Square Hotel,08/01/2017,09/01/2017,2,0,1,1
2016112609,mobile,Blythswood Square Hotel,17/06/2017,18/06/2017,2,0,1,1
2016112609,mobile,Blythswood Square Hotel,18/06/2017,19/06/2017,2,0,1,1
2016112609,mobile,Blythswood Square Hotel,28/12/2016,29/12/2016,2,0,1,1
2016112609,mobile,Blythswood Square Hotel,30/03/2017,31/03/2017,2,0,1,1
2016112609,mobile,Blythswood Square Hotel,31/12/2016,01/01/2017,2,0,1,1
2016112609,mobile,Cheadle House,10/12/2016,11/12/2016,2,0,1,1
2016112609,mobile,De Vere Beaumont Estate,02/12/2016,04/12/2016,2,0,1,1
2016112609,mobile,De Vere Cotswold Water Park,23/12/2016,24/12/2016,2,0,1,1
2016112609,mobile,De Vere Cotswold Water Park,24/12/2016,26/12/2016,2,2,1,1
2016112609,mobile,De Vere Cotswold Water Park,26/11/2016,27/11/2016,2,1,1,1
2016112609,mobile,De Vere Cotswold Water Park,27/01/2017,28/01/2017,2,0,1,1
2016112609,mobile,De Vere Cotswold Water Park,27/12/2016,28/12/2016,2,2,1,1
2016112609,mobile,De Vere Cranage Estate,10/12/2016,11/12/2016,2,0,1,1
2016112609,mobile,De Vere Cranage Estate,30/11/2016,31/12/2016,2,2,1,1
2016112609,mobile,De Vere Devonport House,04/02/2017,05/02/2017,2,0,1,1
2016112609,mobile,De Vere Latimer Estate,07/01/2017,08/01/2017,2,2,1,1
2016112609,mobile,De Vere Latimer Estate,14/01/2017,15/01/2017,2,2,1,1
2016112609,mobile,De Vere Latimer Estate,29/12/2016,30/12/2016,2,1,1,1
2016112609,mobile,De Vere Oxford Thames,02/12/2016,04/12/2016,2,0,1,1
2016112609,mobile,De Vere Oxford Thames,09/12/2016,10/12/2016,2,0,1,1
2016112609,mobile,De Vere Oxford Thames,26/11/2016,28/11/2016,2,0,1,1
2016112609,mobile,De Vere Staverton Estate,09/01/2017,12/01/2017,2,0,1,1
2016112609,mobile,De Vere Tortworth Estate,03/12/2016,05/12/2016,2,0,1,1
2016112609,mobile,De Vere Tortworth Estate,11/01/2017,12/01/2017,2,0,1,1
2016112609,mobile,De Vere Tortworth Estate,27/11/2016,28/11/2016,2,0,1,1
2016112609,mobile,De Vere Tortworth Estate,28/01/2017,29/01/2017,2,0,1,1
2016112609,mobile,De Vere Tortworth Estate,30/12/2016,31/12/2016,2,0,1,1
2016112609,mobile,De Vere Wotton House,03/03/2017,04/03/2017,2,0,1,1
2016112609,mobile,De Vere Wotton House,19/12/2016,21/12/2016,2,0,1,1
2016112609,mobile,Grand Central Hotel,16/03/2017,18/03/2017,2,0,1,1
2016112609,mobile,Milton Hill,06/02/2017,09/02/2017,2,0,1,1
2016112609,mobile,Oxford Spires Hotel,07/01/2017,08/01/2017,2,0,1,1
2016112609,mobile,Oxford Spires Hotel,18/12/2016,20/12/2016,2,0,1,1
2016112609,mobile,Oxford Spires Hotel,21/01/2017,22/01/2017,2,0,1,1
2016112609,mobile,Oxford Spires Hotel,31/12/2016,01/01/2017,2,3,1,1
2016112609,mobile,Sedgebrook Hall,24/12/2016,25/12/2016,2,0,1,1
2016112609,mobile,Sunningdale Park,02/12/2016,04/12/2016,2,0,1,1
2016112609,mobile,The Derbyshire,26/01/2017,27/01/2017,2,0,1,1
2016112609,mobile,The Derbyshire,26/11/2016,27/11/2016,2,0,1,1
2016112609,mobile,The Principal Edinburgh George...,07/12/2016,08/12/2016,2,0,1,1
2016112609,mobile,The Principal Edinburgh George...,26/11/2016,27/11/2016,2,0,1,1
2016112609,mobile,The Principal Manchester,02/12/2016,04/12/2016,2,0,1,1
2016112609,mobile,The Principal Manchester,10/12/2016,11/12/2016,2,0,1,1
2016112609,mobile,The Principal Manchester,27/01/2017,29/01/2017,2,0,1,1
2016112609,mobile,The Principal Manchester,30/11/2016,31/12/2016,2,2,1,1
2016112609,mobile,The Principal Manchester,31/12/2016,01/01/2017,2,0,1,1
2016112609,mobile,The Principal York,06/03/2017,08/03/2017,2,0,1,1
2016112609,mobile,The Principal York,10/12/2016,11/12/2016,2,0,1,1
2016112609,mobile,The Principal York,13/12/2016,14/12/2016,2,0,1,1
2016112609,mobile,The Principal York,20/01/2017,22/01/2017,2,0,1,1
2016112609,mobile,The Principal York,26/11/2016,27/11/2016,2,0,1,1
2016112609,mobile,The Principal York,26/11/2016,28/11/2016,2,0,1,1
2016112609,mobile,The Roxburghe Hotel,01/12/2016,03/12/2016,2,0,1,1
2016112609,mobile,The Roxburghe Hotel,09/12/2016,12/12/2016,2,0,1,1
2016112609,mobile,The Roxburghe Hotel,15/02/2017,17/02/2017,2,0,1,1
2016112609,mobile,The St David's Hotel,01/01/2017,03/01/2017,2,2,1,1
2016112609,mobile,The St David's Hotel,04/01/2017,05/01/2017,2,0,1,1
2016112609,mobile,The St David's Hotel,04/02/2017,05/02/2017,2,0,1,1
2016112609,mobile,The St David's Hotel,20/01/2017,21/01/2017,2,0,1,1
2016112609,mobile,The St David's Hotel,28/12/2016,29/12/2016,2,0,1,1
2016112609,mobile,Warbrook House,28/01/2017,29/01/2017,2,0,1,1
2016112609,tablet,Blythswood Square Hotel,09/12/2016,10/12/2016,2,0,1,1
2016112609,tablet,Blythswood Square Hotel,10/12/2016,11/12/2016,2,0,1,1
2016112609,tablet,Blythswood Square Hotel,26/11/2016,27/11/2016,2,0,1,1
2016112609,tablet,Cheadle House,02/12/2016,04/12/2016,2,0,1,1
2016112609,tablet,De Vere Beaumont Estate,26/11/2016,27/11/2016,2,0,1,1
2016112609,tablet,De Vere Cotswold Water Park,03/03/2017,04/03/2017,2,0,1,1
2016112609,tablet,De Vere Cotswold Water Park,28/12/2016,29/12/2016,2,2,1,1
2016112609,tablet,De Vere Cranage Estate,26/11/2016,27/11/2016,2,0,1,1
2016112609,tablet,De Vere Orchard Hotel,10/12/2016,11/12/2016,2,0,1,1
2016112609,tablet,De Vere Orchard Hotel,27/12/2016,28/12/2016,2,2,1,1
2016112609,tablet,De Vere Orchard Hotel,29/12/2016,30/12/2016,2,2,1,1
2016112609,tablet,De Vere Oxford Thames,03/12/2016,04/12/2016,2,3,2,1
2016112609,tablet,De Vere Selsdon Estate,26/11/2016,27/11/2016,2,0,1,1
2016112609,tablet,De Vere Theobalds Estate,19/02/2017,21/02/2017,2,0,1,1
2016112609,tablet,De Vere Theobalds Estate,27/02/2017,01/03/2017,2,0,1,1
2016112609,tablet,De Vere Tortworth Estate,02/12/2016,03/12/2016,2,0,1,1
2016112609,tablet,Gloucestershire,28/12/2016,29/12/2016,2,2,1,1
2016112609,tablet,Grand Central Hotel,08/12/2016,10/12/2016,2,0,1,1
2016112609,tablet,Oxford Witney Hotel,04/12/2016,05/12/2016,2,0,1,1
2016112609,tablet,Oxfordshire,28/12/2016,29/12/2016,2,2,1,1
2016112609,tablet,Ponsbourne Park,13/01/2017,14/01/2017,2,0,1,1
2016112609,tablet,Ponsbourne Park,14/01/2017,15/01/2017,2,0,1,1
2016112609,tablet,Ponsbourne Park,31/12/2016,01/01/2017,2,0,1,1
2016112609,tablet,The Derbyshire,03/01/2017,05/01/2017,2,0,1,1
2016112609,tablet,The Principal Manchester,06/12/2016,07/12/2016,2,0,1,1
2016112609,tablet,The Principal Manchester,07/01/2017,08/01/2017,2,0,1,1
2016112609,tablet,The Principal Manchester,07/12/2016,08/12/2016,2,0,1,1
2016112609,tablet,The Principal Manchester,10/02/2017,12/02/2017,2,0,1,1
2016112609,tablet,The Principal Manchester,17/01/2017,18/01/2017,2,0,1,1
2016112609,tablet,The Principal Manchester,29/12/2016,30/12/2016,2,0,1,1
2016112609,tablet,The Principal York,08/12/2016,10/12/2016,2,0,1,1
2016112609,tablet,The Principal York,08/12/2016,12/12/2016,2,0,1,1
2016112609,tablet,The Roxburghe Hotel,22/12/2016,23/12/2016,2,0,1,1
2016112609,tablet,The Roxburghe Hotel,26/11/2016,27/11/2016,2,0,1,1
2016112609,tablet,The St Johns Hotel,29/12/2016,30/12/2016,2,2,1,1
2016112609,tablet,Warbrook House,27/12/2016,29/12/2016,2,0,1,1
2016112610,desktop,Blythswood Square Hotel,14/02/2017,15/02/2017,2,0,1,1
2016112610,desktop,Blythswood Square Hotel,26/11/2016,27/11/2016,2,0,1,1
2016112610,desktop,Cheadle House,06/01/2017,08/01/2017,2,0,1,1
2016112610,desktop,De Vere Alexandra House,13/03/2017,14/03/2017,2,0,1,1
2016112610,desktop,De Vere Beaumont Estate,13/03/2017,14/03/2017,2,0,1,1
2016112610,desktop,De Vere Cotswold Water Park,21/01/2017,22/01/2017,2,0,1,1
2016112610,desktop,De Vere Cotswold Water Park,22/12/2016,24/12/2016,2,0,1,1
2016112610,desktop,De Vere Cotswold Water Park,22/12/2016,25/12/2016,2,0,1,1
2016112610,desktop,De Vere Cotswold Water Park,22/12/2016,26/12/2016,2,0,1,1
2016112610,desktop,De Vere Cotswold Water Park,23/12/2016,26/12/2016,2,0,1,1
2016112610,desktop,De Vere Cranage Estate,05/05/2017,07/05/2017,2,0,1,1
2016112610,desktop,De Vere Devonport House,26/11/2016,27/11/2016,2,0,1,1
2016112610,desktop,De Vere Devonport House,31/12/2016,02/01/2017,2,0,1,1
2016112610,desktop,De Vere Selsdon Estate,26/11/2016,27/11/2016,2,2,1,1
2016112610,desktop,De Vere Tortworth Estate,04/05/2017,06/05/2017,2,0,1,1
2016112610,desktop,Denham Grove,17/12/2016,19/12/2016,2,0,1,1
2016112610,desktop,Ettington Chase,27/11/2016,29/11/2016,2,0,1,1
2016112610,desktop,Grand Central Hotel,16/02/2017,17/02/2017,2,0,1,1
2016112610,desktop,Grand Central Hotel,19/05/2017,20/05/2017,2,0,1,1
2016112610,desktop,Grand Central Hotel,29/12/2016,30/12/2016,2,0,1,1
2016112610,desktop,Milton Hill,13/03/2017,14/03/2017,2,0,1,1
2016112610,desktop,New Place,06/12/2016,07/12/2016,2,0,1,1
2016112610,desktop,New Place,26/11/2016,27/11/2016,2,0,1,1
2016112610,desktop,New Place,26/11/2016,27/12/2016,2,0,1,1
2016112610,desktop,The Bonham Hotel,18/08/2017,20/08/2017,2,0,1,1
2016112610,desktop,The Bonham Hotel,18/08/2017,21/08/2017,2,0,1,1
2016112610,desktop,The Derbyshire,02/12/2016,04/12/2016,2,0,1,1
2016112610,desktop,The Principal Edinburgh George...,04/12/2016,05/12/2016,2,0,1,1
2016112610,desktop,The Principal Edinburgh George...,06/01/2017,08/01/2017,2,0,1,1
2016112610,desktop,The Principal Edinburgh George...,12/12/2016,13/12/2016,2,0,1,1
2016112610,desktop,The Principal Edinburgh George...,27/01/2017,29/01/2017,2,0,1,1
2016112610,desktop,The Principal Manchester,06/01/2017,08/01/2017,2,0,1,1
2016112610,desktop,The Principal Manchester,26/11/2016,27/11/2016,2,0,1,1
2016112610,desktop,The Principal York,27/11/2016,29/11/2016,2,0,1,1
2016112610,desktop,The Principal York,30/01/2017,02/02/2017,2,0,1,1
2016112610,desktop,The Roxburghe Hotel,06/01/2017,08/01/2017,2,0,1,1
2016112610,desktop,The Roxburghe Hotel,11/02/2017,13/02/2017,2,0,1,1
2016112610,desktop,The Roxburghe Hotel,13/02/2017,16/02/2017,2,0,1,1
2016112610,desktop,The St David's Hotel,03/08/2017,05/08/2017,2,0,1,1
2016112610,desktop,The St David's Hotel,21/12/2016,22/12/2016,2,0,2,2
2016112610,desktop,Wychwood Park,06/01/2017,08/01/2017,2,0,1,1
2016112610,mobile,Blythswood Square Hotel,02/12/2016,03/12/2016,2,0,1,1
2016112610,mobile,Blythswood Square Hotel,11/02/2017,12/02/2017,2,0,1,1
2016112610,mobile,Blythswood Square Hotel,16/12/2016,17/12/2016,2,0,1,1
2016112610,mobile,Blythswood Square Hotel,26/11/2016,28/11/2016,2,0,1,1
